code,target,interest,maturity,payment,status,id,income,age,scaleofcompany,education,marriage,workingtime,estate,houseloan,car,carloan,creditscore,application,pastsuccess,pastdefault,creditcertificate,creditreport,identitycertificate,jobcertificate,incomecertificate,estatecertificate,carcertificate,marriagecertificate,educertificate,techcertificate,mobilecertificate,weibocertificate
2275,62200 ,0.13 ,36,2102 ,0,754278,2000-5000,27,less10,junior college,married,below 1 year,1,0,0,0,145,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0
2276,46700 ,0.13 ,36,1578 ,0,754279,20000-50000,48,10-100,junior college,married,below 1 year,1,1,0,0,145,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0
2277,41500 ,0.13 ,24,1967 ,0,754280,5000-10000,26,less10,junior college,single,below 1 year,0,0,0,0,145,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0
2278,35900 ,0.13 ,24,1702 ,0,754281,2000-5000,36,less10,junior college,single,below 1 year,0,0,0,0,145,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0
2279,49200 ,0.13 ,36,1663 ,0,754282,5000-10000,34,less10,junior college,married,below 1 year,0,0,1,1,145,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0
2280,101500 ,0.12 ,18,6192 ,0,754283,20000-50000,31,less10,junior college,married,below 1 year,0,0,0,0,145,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0
2281,61500 ,0.13 ,36,2079 ,0,754284,5000-10000,48,less10,junior college,married,below 1 year,1,0,0,0,145,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0
2282,100000 ,0.12 ,9,11680 ,1,734929,2000-5000,23,10-100,junior college,single,1-3 years,1,0,0,0,20,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2283,200000 ,0.15 ,24,9680 ,1,752090,2000-5000,41,10-100,junior college,married,above 5 years,1,0,0,1,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2284,30000 ,0.15 ,12,2706 ,1,717482,5000-10000,48,less10,highschool,married,above 5 years,1,0,0,0,20,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2285,100000 ,0.15 ,24,4840 ,1,749157,--,41,--,--,single,--,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2286,500000 ,0.15 ,24,24200 ,1,753860,2000-5000,31,above500,undergraduate,single,above 5 years,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2287,60000 ,0.15 ,24,2904 ,1,55303,5000-10000,33,100-500,master,single,1-3 years,0,0,0,0,20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2288,5000 ,0.15 ,6,870 ,1,754263,--,25,--,highschool,single,--,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2289,10000 ,0.11 ,6,1720 ,1,728590,2000-5000,31,10-100,highschool,married,below 1 year,0,0,0,0,20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2290,25000 ,0.10 ,3,8475 ,0,754246,20000-50000,27,10-100,highschool,married,1-3 years,1,1,0,0,80,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0
2291,400000 ,0.15 ,3,136720 ,1,754286,--,25,--,undergraduate,single,--,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2292,180000 ,0.15 ,24,8712 ,1,32994,10000-20000,25,10-100,undergraduate,married,1-3 years,0,0,0,0,27,4,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2293,50000 ,0.15 ,18,3120 ,1,754296,5000-10000,48,above500,highschool,married,above 5 years,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2294,50000 ,0.15 ,12,4510 ,1,754255,20000-50000,31,less10,junior college,married,1-3 years,1,0,0,0,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2295,20000 ,0.15 ,12,1804 ,1,753977,--,22,--,highschool,single,--,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2296,30000 ,0.15 ,12,2706 ,0,296339,20000-50000,35,10-100,highschool,single,above 5 years,1,1,0,0,103,2,2,0,0,1,1,1,1,1,0,0,0,0,0,0
2297,50000 ,0.15 ,12,4510 ,1,748913,5000-10000,29,100-500,undergraduate,married,above 5 years,0,0,0,1,20,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2298,10000 ,0.15 ,12,902 ,1,754309,2000-5000,30,less10,highschool,married,1-3 years,1,0,0,0,20,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
